,movie_id,averagerating,numvotes
356,tt6589292,6.0,246
357,tt6590978,8.0,36
358,tt6594022,3.9,94
359,tt6594148,5.4,31
360,tt6597044,6.2,6
361,tt6599256,8.3,116
362,tt6612178,7.9,35
363,tt6634906,7.6,14
364,tt6636878,7.9,9
365,tt6677500,4.5,223
366,tt6679412,6.2,959
367,tt6688136,5.9,2615
368,tt6704014,6.6,83
369,tt6705988,8.1,16
370,tt6710772,7.4,50
371,tt6712026,7.1,1598
372,tt6720674,6.5,27
373,tt6725484,7.1,590
374,tt6730644,6.5,8
375,tt6731592,7.9,95
376,tt6737494,8.9,23
377,tt6742252,7.5,25267
378,tt6745192,6.8,12
379,tt6749456,8.9,12
380,tt6750506,5.9,119
381,tt6751046,7.6,18
382,tt6764122,7.1,308
383,tt6769280,5.7,3455
384,tt6778706,7.9,11
385,tt6780706,9.4,18
386,tt6806804,7.6,7
387,tt6808782,5.9,12
388,tt6828530,6.3,132
389,tt6831278,7.0,5
390,tt6844416,6.4,7
391,tt6845800,8.2,9
392,tt6850078,9.2,18
393,tt6854248,6.6,1454
394,tt6857040,4.6,731
395,tt6857298,5.2,5
396,tt6858020,6.1,308
397,tt6866652,3.3,34
398,tt6867356,9.1,9
399,tt6870220,8.6,5
400,tt6871240,8.2,5
401,tt6888762,7.9,10
402,tt6892088,7.8,10
403,tt6901904,7.6,7
404,tt6910380,7.5,37
405,tt6920930,4.6,91
406,tt6922138,9.2,17
407,tt6925132,5.4,5
408,tt6925204,5.4,14
409,tt6936264,6.2,6
410,tt6943606,8.0,9
411,tt6947800,6.9,93
412,tt6954970,8.2,6
413,tt6955130,6.1,41
414,tt6982394,7.9,8
415,tt6983064,6.7,6
416,tt6998228,5.9,99
417,tt7004152,7.0,88
418,tt7008774,4.5,6
419,tt7012864,6.3,1490
420,tt7021436,7.3,17
421,tt7024660,8.1,26
422,tt7026270,8.1,28
423,tt7027278,6.0,4189
424,tt7030048,5.2,22
425,tt7056470,6.8,33
426,tt7063474,7.9,10
427,tt7076838,5.6,57
428,tt7089878,7.2,503
429,tt7093188,8.2,24
430,tt7108862,3.7,145
431,tt7112166,5.4,31
432,tt7122516,7.5,13
433,tt7134214,7.5,16
434,tt7142712,7.1,114
435,tt7149066,6.5,39
436,tt7158582,7.4,439
437,tt7158686,5.1,873
438,tt7164084,6.9,11
439,tt7166214,6.8,185
440,tt7185492,3.7,423
441,tt7198146,8.0,5
442,tt7205630,6.0,601
443,tt7208564,5.3,2972
444,tt7211010,7.6,144
445,tt7217128,5.7,176
446,tt7223050,5.6,398
447,tt7225716,4.0,15
448,tt7228676,4.1,9
449,tt7239688,7.3,28
450,tt7254768,7.0,36
451,tt7256866,5.2,7728
452,tt7259100,5.1,160
453,tt7262052,6.6,299
454,tt7269624,7.0,7
455,tt7274816,3.7,7
456,tt7275980,5.1,28
457,tt7277330,8.6,5
458,tt7290740,6.3,40
459,tt7293844,7.2,26
460,tt7293920,6.8,20
461,tt7298028,9.1,28
462,tt7305634,7.9,35
463,tt7313218,6.7,87
464,tt7315526,4.9,1466
465,tt7315648,6.0,27
466,tt7316206,5.9,35
467,tt7323332,6.0,195
468,tt7341988,4.8,32
469,tt7342204,7.4,1105
470,tt7345928,6.5,57
471,tt7361790,4.9,13
472,tt7363356,7.2,10
473,tt7370188,6.9,310
474,tt7374968,6.8,43
475,tt7375556,5.4,115
476,tt7382572,6.4,44
477,tt7385518,7.4,18
478,tt7385580,8.5,14
479,tt7388694,6.5,24
480,tt7389918,7.3,6
481,tt7390044,6.4,69
482,tt7390380,7.0,54
483,tt7399124,7.1,410
484,tt7403574,5.1,81
485,tt7404894,6.7,9
486,tt7407950,6.9,19
487,tt7411202,8.8,10
488,tt7412738,6.3,793
489,tt7416102,5.2,50
490,tt7418296,6.1,7
491,tt7419468,6.3,236
492,tt7421764,5.4,7
493,tt7424410,4.2,103
494,tt7429318,7.1,46
495,tt7429708,6.2,867
496,tt7433980,6.8,110
497,tt7436642,7.7,1842
498,tt7446940,4.3,6
499,tt7451284,5.6,13943
500,tt7457108,5.1,51
501,tt7460834,7.9,26
502,tt7461982,8.5,6
503,tt7467324,6.6,377
504,tt7469978,5.2,151
505,tt7470398,8.0,5
506,tt7475708,7.2,22
507,tt7484546,5.6,9
508,tt7520478,3.6,13
509,tt7521000,6.4,75
510,tt7521846,4.3,289
511,tt7524472,6.8,8
512,tt7526316,6.9,23
513,tt7526492,8.2,93
514,tt7533152,7.6,10725
515,tt7533756,7.0,200
516,tt7541970,9.7,6
517,tt7542576,5.8,1054
518,tt7542928,7.4,12
519,tt7553526,8.3,13
520,tt7558166,5.6,85
521,tt7569402,9.0,7
522,tt7572744,7.3,340
523,tt7575400,2.7,55
524,tt7592540,8.3,7
525,tt7600780,7.5,8
526,tt7603154,8.3,14
527,tt7604636,5.9,14
528,tt7606796,7.8,33
529,tt7606826,5.8,6
530,tt7610008,8.0,921
531,tt7620732,3.6,37
532,tt7628458,7.2,2218
533,tt7631320,3.6,168
534,tt7632870,6.5,8
535,tt7639236,6.7,6
536,tt7674116,8.9,14
537,tt7675596,6.7,14
538,tt7686386,5.0,72
539,tt7689964,7.5,8071
540,tt7690670,5.0,4753
541,tt7693236,7.9,19
542,tt7708146,5.4,138
543,tt7710836,6.6,7
544,tt7730492,5.8,116
545,tt7748852,8.3,20
